ID,name,product_type,skin_type,price,rating
1362,Diorsnow White Reveal UV Protection SPF 50,Cream,dry,76.4,2.6
1363,Dissolvant Doux Gentle Polish Remover,Polish Remover,sensitive,88.5,3.4
1364,Dolce Vita,Fragrance,dry,67.0,3.6
1365,Dune,Fragrance,sensitive,77.7,2.7
1366,Eau Sauvage,Men's Shaving,dry,137.1,3.1
1367,Escale a Parati,Fragrance,oily,96.3,3.0
1368,Escale a Pondichery,Fragrance,oily,60.2,3.0
1369,Escale aux Marquises,Fragrance,sensitive,54.9,2.2
1370,Esccale a Portofino,Fragrance,oily,89.3,2.9
1371,Eyeliner Brush,Eye,sensitive,78.3,2.4
1372,Fahrenheit,Men's Shaving,sensitive,39.5,2.9
1373,Fahrenheit 32,Fragrance,oily,135.0,3.6
1374,Fahrenheit Absolute,Fragrance,sensitive,141.2,1.7
1375,Forever and Ever Dior,Fragrance,oily,34.3,2.7
1376,Gentle Cleansing Milk Dry and Sensitive Skin,Makeup Remover,sensitive,94.9,3.2
1377,Gentle Foaming Cleanser,Foaming,sensitive,58.0,3.4
1378,Gentle Toning Lotion,Toner,dry,77.5,2.8
1379,Higher,Fragrance,sensitive,108.5,0
1380,Higher Energy,Fragrance,oily,50.0,0
1381,Hydra Life Comfort CrÃ¨me,Cream,dry,72.5,0
1382,Hydra Life Eye CrÃ¨me,Eye Cream,sensitive,38.3,1.7
1383,Hydra Life Lotion Serum,Lotion,dry,51.9,3.7
1384,Hydra Life Protective CrÃ¨me SPF 15,Cream,oily,136.2,3.2
1385,Hydra Life Protective fluid SPF 15,Lotion,dry,138.4,4.0
1386,Hydra Life Pro-Youth Extreme CrÃ¨me,Cream,sensitive,97.2,2.3
1387,Hydra Life Rehydrating Mask,Hydrating,sensitive,103.5,4.1
1388,Hydra Life Skin Perfect,Lotion,dry,58.8,3.6
1389,Hydra Life Sorbet CrÃ¨me,Cream,oily,56.3,2.1
1390,Hydra Life Sorbet Eye CrÃ¨me,Eye Cream,sensitive,113.4,3.2
1391,Hydra Life Youth Essential Hydrating Essence in Base SPF 30,Cream,dry,74.3,0
1392,Hydra Life Youth Essential Hydrating Essence in Rich CrÃ¨me,Cream,sensitive,38.1,2.7
1394,Instant Cleansing Water,Makeup Remover,dry,93.7,2.5
1395,Instant Eye Makeup Remover,Makeup Remover,sensitive,99.7,2.6
1396,Instant Gentle Cleansing Oil,Liquid,sensitive,28.0,3.1
1397,Instant Gentle Exfoliant,Facial Exfoliator,sensitive,122.6,3.1
1398,J'Adore,Cream,sensitive,55.0,2.1
1399,Jâ€™Adore,Cream,dry,53.4,2.2
1400,Jules,Fragrance,dry,132.0,2.8
1401,Large Eyeshadow Brush,Eye,oily,32.5,3.6
1403,L'Or de Vie La CrÃ¨me,Cream,dry,47.9,2.2
1404,L'Or de Vie La CrÃ¨me Contour Yeux et Levres,Eye Cream,sensitive,28.5,2.5
1405,L'Or de Vie La CrÃ¨me Riche,Cream,oily,149.4,2.5
1407,L'Or de Vie Lotion,Lotion,sensitive,136.9,1.9
1408,Medium Eyeshadow Brush,Eye,oily,119.1,2.8
1409,Midnight Poison,Fragrance,dry,14.0,2.8
1410,Miss Dior,Fragrance,dry,54.5,3.0
1411,Pelline Emollient Cuticle Remover Lotion,Treatment,sensitive,96.1,3.0
1412,Poison,Fragrance,dry,100.6,1.2
1413,Powder Brush,Face,dry,83.1,2.8
1414,Professional Finish Fluid Foundation Brush High Coverage,Face,sensitive,44.7,2.6
1415,Professional Finish Fluid Foundation Brush Light Coverage,Face,dry,106.8,2.1
1416,Professional Finish Powder Brush Light Coverage,Face,sensitive,140.1,2.5
1417,Professional Finish Powder Foundation Brush High Coverage,Face,oily,31.0,2.8
1418,Pure Poison,Fragrance,dry,103.5,2.7
1419,Purifying Cleansing Milk Normal - combination skin,Makeup Remover,dry,77.3,2.3
1420,Purifying Foaming Cleanser,Foaming,sensitive,78.5,2.5
1421,Purifying Toning Lotion,Toner,oily,95.8,2.5
1422,Retractable Lip Brush,Lip,sensitive,82.5,1.7
1423,Rouge Dior CrÃ¨me de Gloss,Lipgloss,oily,80.9,2.9
1424,Rouge Dior Lip Color (Discontinued),Lipstick,oily,39.6,3.5
1425,Rock Coat,Fast Dry Coat,dry,147.3,3.1
1426,Rouge Nude Lip Color,Lipstick,oily,65.7,2.0
1427,Serum de Rouge Luminous Color Lip Treamtent SPF 20,Lipstick,oily,129.2,2.6
1428,Sourcils Poudre Powder Eyebrow Pencil,Pencil,dry,113.6,3.0
1429,Style Liner,Liquid,sensitive,56.0,2.1
1430,Top Coat,Top Coat,oily,106.3,2.0
1431,Vernis,Nail Color,oily,108.4,1.2
1432,5 Couleurs Designer Eyeshadow Palette,Eye Palette,oily,136.8,1.3
1433,Designer Eyeshadow,Powder,oily,81.8,3.4
1434,5 Couleurs Eyeshadow Palette,Eye Palette,dry,16.2,2.4
1435,Eyeshadow,Powder,dry,36.2,2.4
1436,3 Couleurs Eyeshadow Palette,Eye Palette,oily,77.5,3.3
1437,DiorSkin Nude Tan Paraduse Duo,Cheek Palette,sensitive,84.8,0
1438,DiorSkin Powder Blush,Powder,sensitive,142.8,4.4
1439,DiorSkin Powder Bronzer,Powder,dry,16.6,2.4
1440,5 Couleurs Iridescent Eyeshadow Palette,Eye Palette,oily,112.2,2.8
1441,5 Couleurs Lift Eyeshadow Palette,Eye Palette,sensitive,40.5,2.7
1442,Blue Tie Palette,Makeup Palette,dry,21.4,3.3
1444,Advanced Night Repair Eye Synchronized Complex,Eye Cream,sensitive,136.3,2.8
1446,Advanced Time Zone Age Reversing Line/Wrinkle CrÃ¨me Broad Spectrum SPF 15,Cream,dry,99.2,3.0
1447,Advanced Time Zone Age Reversing Line/Wrinkle Eye CrÃ¨me,Eye Cream,oily,87.7,2.3
1448,Advanced Time Zone Age Reversing Line/Wrinkle Hydrating Gel Oil Free,Gel,dry,49.4,0
1449,Advanced Time Zone Night Age Reversing Line/Wrinkle CrÃ¨me,Cream,oily,144.3,3.2
1450,All Day Lipstick,Lipstick,dry,59.5,2.8
1451,Automatic Brow Pencil Duo,Pencil,dry,74.7,0.8
1452,Automatic Eye Pencil Duo,Pencil,oily,87.4,0
1453,Automatic Lip Pencil Duo,Pencil,sensitive,85.8,3.8
1456,Sensuous Nude,Cream,sensitive,90.2,1.9
1457,Private Collection Jasmine White Moss ,Cream,oily,14.1,2.1
1458,Private Collection Tuberose Gardenia,Cream,oily,132.5,3.0
1459,Pure White Linen,Lotion,dry,81.8,2.3
1460,Bronze Goddess,Self-Tanner,oily,81.5,1.5
1461,Bronze Goddess Sun Indulgence Lotion for Face SPF 30,Lotion,oily,23.5,2.5
1462,Clear Difference Advanced Oil-Control Hydrator,Lotion,oily,44.5,4.0
1463,Lauder for Men ,Fragrance,sensitive,66.8,2.4
1464,Lauder Intuition for Men,Fragrance,oily,82.4,0.7
1465,Lauder Pleasures for Men,Fragrance,oily,129.1,3.0
1466,CyberWhite Brilliant Cells Full Spectrum Brightening Cleanser,Cream,dry,104.3,2.4
1467,CyberWhite Brilliant Cells Full Spectrum Brightening Moisture CrÃ¨me,Cream,dry,127.7,3.8
1469,DayWear Advanced Multi-Protection Anti-Oxidant CrÃ¨me Broad Spectrum SPF 15,Cream,oily,28.4,2.8
1470,DayWear Advanced Multi-Protection Anti-Oxidant CrÃ¨me Oil Free Broad Spectrum SPF 25,Cream,sensitive,26.6,2.6
1471,DayWear Advanced Multi-Protection Anti-Oxidant Lotion Broad Spectrum SPF 15,Lotion,dry,59.9,2.1
1472,Double Wear Eye Pencil,Pencil,dry,68.7,3.1
1473,Double Wear Stay-in Place Eye Pencil Duo,Pencil,dry,144.6,3.3
1474,Double Wear Stay-in-Place Eye Pencil,Pencil,dry,45.7,2.9
1475,Double Wear Stay-in-Place Eyeshadow Base,Eye,oily,16.6,2.9
1476,Double Wear Stay-in-Place Gel Eyeliner,Gel,dry,116.8,1.9
1477,Double Wear Stay-in-Place Lip Duo,Lipgloss,oily,56.8,3.3
1478,Double Wear Stay-in-Place Lip Pencil,Pencil,dry,148.9,1.5
1479,Double Wear Stay-in-Place Lipstick,Lipstick,dry,82.0,2.8
1480,Double Wear Zero-Smudge,Lengthening,oily,27.7,1.9
1481,Double Wear Zero-Smudge Liquid Eyeliner,Liquid,oily,129.9,3.0
1482,Beautiful Love,Fragrance,dry,35.5,3.1
1483,Beautiful Sheer,Fragrance,oily,125.5,3.1
1484,Pleasures Bloom,Fragrance,dry,125.8,1.8
1485,Pleasures Delight,Fragrance,sensitive,83.7,2.5
1486,Pleasures Exotic,Fragrance,oily,28.3,2.1
1487,Pleasures Intense,Fragrance,dry,135.3,3.9
1488,Private Collection Amber Ylang Ylang ,Fragrance,dry,29.2,2.6
1489,Pure White Linen Light Breeze,Fragrance,oily,118.4,1.9
1490,Sensuous,Fragrance,oily,138.4,1.7
1491,Sensuous Noir,Fragrance,oily,103.9,1.9
1492,Wood Mystique,Fragrance,sensitive,56.8,0
1493,"Estee lauder Signature 5-Tone Shimmer Powder for Eyes, Cheeks, Face",Powder,oily,82.8,2.5
1494,Estee Lauder Signature Hydra Lustre Lipstick,Lipstick,oily,22.6,0
1495,Blending Shadow 25,Eye,oily,26.6,2.5
1496,Contour Shadow 30,Eye,oily,137.7,2.7
1497,Eyeliner/Brow 20,Eye,oily,70.3,2.1
1498,Blush 15,Face,oily,116.5,2.1
1499,Concealer 5,Face,oily,28.8,1.1
1500,Foundation 1,Face,dry,80.6,2.2
1501,Powder 10,Face,dry,43.6,1.9
1502,Powder Foundation 3,Face,oily,55.6,1.9
1503,Gentle Eye Makeup Remover,Makeup Remover,oily,115.4,0
1504,Hydrationist Maximum Moisture CrÃ¨me,Cream,dry,10.6,0
1505,Idealist Cooling Eye Illuminator,Eye Cream,oily,52.8,3.5
1508,Idealist Pore Minimizing Skin Refresher,Hydrating,sensitive,67.7,0
1509,Illuminating Perfecting Primer,Face,oily,97.2,1.5
1510,Lash Primer Plus,Eye,dry,80.1,1.7
1511,Lip Brush,Lip,sensitive,139.0,3.1
1512,Lip conditioner,Lip Balm,dry,110.7,2.0
1513,MagnaScopic,Volumizing,sensitive,149.3,1.6
1514,Makeup Brush Cleanser,Brush Cleanser,dry,136.0,2.4
1515,Matte Perfecting Primer,Face,oily,31.0,2.5
1516,More Than Mascara,Thickening,dry,27.2,1.8
1517,Nutritious Purifying 2-in-1 Foam Cleanser,Foaming,dry,85.8,3.1
1518,Nutritious Viita-Mineral Moisture Lotion,Lotion,oily,103.6,3.3
1519,Nutritious Vita-Mineral Infusing Eye Gel,Eye Cream,oily,98.1,0
1520,Nutritious Vita-Mineral Moisture CrÃ¨me,Cream,sensitive,144.5,2.5
1521,Pencil Sharpener,Sharpener,oily,37.0,3.0
1524,Perfectly Clean Fresh Balancing Lotion,Toner,dry,74.2,4.4
1525,Perfectly Clean Light Lotion Cleanser,Lotion,dry,54.2,2.3
1526,Perfectly Clean Splash Away Foaming Cleanser,Foaming,dry,112.8,2.7
1527,Pure Color Blush,Powder,dry,39.8,3.8
1528,Pure Color Crystal Lipstick,Lipstick,oily,88.7,1.7
1529,Pure Color Eyeshadow,Powder,sensitive,135.1,2.9
1530,Pure Color Gelee Powder Eyeshadow,Powder,dry,39.6,1.6
1531,Pure Color Gloss,Lipgloss,sensitive,109.4,2.5
1532,Pure Color High Gloss,Lipgloss,oily,79.4,1.8
1533,Pure Color Illuminating Powder Gelee Blush,Powder,sensitive,79.3,2.2
1534,Pure Color Intense Kajal Crayon Duo,Pencil,sensitive,145.9,2.4
1535,Pure Color Intense Kajal Eye Crayon,Pencil,oily,116.6,1.6
1536,Pure Color Intense Kajal Eyeliner,Pencil,sensitive,81.9,1.9
1537,Pure Color Intense Kajal Eyeliner Duo,Pencil,sensitive,54.7,1.9
1538,Pure Color Long Lasting Lipstick,Lipstick,sensitive,131.1,2.8
1539,Pure Color Nail Lacquer,Nail Color,dry,41.5,2.5
1540,Pure Color Sensuous Rouge Lip Color,Lipstick,sensitive,135.6,3.4
1541,Pure Color Stay-on Shadow Paint,Cream,dry,69.1,2.6
1542,Pure Color Velvet Lipstick,Lipstick,dry,143.3,3.5
1543,Pure Color Vivid Shine Lipstick,Lipstick,oily,16.0,2.5
1544,Pure Color Vivid Shine Lipstick Luminizer,Lipstick,sensitive,124.9,2.9
1546,Resilience Lift Firming/Sculpting Eye CrÃ¨me,Eye Cream,sensitive,147.6,2.0
1547,Resilience Lift Firming/Sculpting Face and Neck CrÃ¨me Broad Spectrum SPF 15,Cream,sensitive,18.8,2.1
1548,Resilience Lift Firming/Sculpting Face and Neck Lotion Broad Spectrum SPF 15,Lotion,oily,103.2,3.0
1549,Resilience Lift Night Firming/Sculpting Face and Neck CrÃ¨me,Cream,oily,14.6,2.7
1551,Soft Clean Moisture Rich Foaming Cleanser,Foaming,oily,134.3,2.4
1552,Soft Clean Silky Hydrating Lotion,Lotion,oily,57.2,3.0
1553,Soft Clean Tender CrÃ¨me Cleanser,Cream,oily,66.1,3.0
1554,Sumptuous,Volumizing,oily,149.4,1.5
1555,Sumptuous Two Tone,Volumizing,dry,42.9,1.9
1556,Sumptuous Waterproof,Volumizing,sensitive,108.1,2.7
1557,Sumptuous Extreme,Volumizing,dry,118.4,1.5
1558,Sumptuous Extreme Waterproof,Volumizing,oily,55.8,2.0
1559,Swiss Performing Extract,Lotion,sensitive,68.8,3.1
1560,Take It Away,Makeup Remover,dry,50.3,1.8
1561,Take It Away LongWear Makeup Remover Towelettes,Wipe,oily,60.3,0
1562,Take It Away Total Makeup Remover,Makeup Remover,dry,98.8,0
1564,Verite Light Lotion Cleanser,Cream,sensitive,67.8,1.2
1565,Verite Moisture Relief CrÃ¨me,Cream,sensitive,143.1,2.3
1566,Verite Special EyeCare,Eye Cream,dry,101.4,2.0
1567,Pure Color Eyesahdow Duo,Eye Palette,sensitive,11.1,0.8
1568,Pure Color Eyeshadow Duo,Eye Palette,dry,112.3,2.7
1569,Pure Color Eyeshadow Palette,Eye Palette,sensitive,81.2,2.4
1570,Acqua Di Gio Homme,Fragrance,sensitive,138.5,2.7
1571,Acqua di Gioia,Cream,sensitive,44.6,1.2
1572,Acqua Di Gioia Satin,Fragrance,sensitive,75.8,2.3
1573,Armani Code ,Men's Shaving,dry,113.2,3.0
1574,Armani Code for Women,Lotion,sensitive,141.3,3.4
1575,Armani Code Men Summer,Fragrance,oily,141.7,2.3
1576,Armani Code Sport,Fragrance,sensitive,62.7,2.4
1577,Armani Code Women Sheer,Fragrance,dry,65.5,3.4
1578,Armani Code Women Summer,Fragrance,oily,20.7,0
1579,Armani Eau Pour Homme,Fragrance,dry,92.3,0
1580,Armani Mania ,Fragrance,sensitive,65.6,2.2
1581,Armani Mania Women,Fragrance,dry,136.4,3.2
1582,Blender,Face,oily,140.7,2.8
1583,Blush,Face,sensitive,42.5,2.3
1584,Blushing Fabric,Liquid,oily,106.0,1.3
1585,Cleanser Skin Minerals Men,Foaming,dry,33.8,0.9
1586,Concealer,Face,sensitive,144.0,1.6
1587,Crema Nera Cleansing Milk,Liquid,oily,66.6,0.8
1588,Crema Nera Regenerating Cream,Cream,oily,107.7,2.4
1589,Crema Nera Regenerating Cream with Massage Stone,Cream,oily,114.4,2.7
1591,Crema Nera Reviving Eye Compact,Eye Cream,oily,34.9,4.2
1592,Designer Foundation Expert Shaping,Face,oily,110.1,1.1
1593,Emporio Armani Diamonds Men,Deodorant,dry,44.2,4.2
1594,Emporio Armani He ,Fragrance,sensitive,88.4,3.5
1595,Emporio Armani She ,Fragrance,sensitive,30.3,2.3
1596,Eye Brow Defining Pencil,Pencil,dry,14.0,3.8
1597,Eye Liner,Eye,sensitive,136.1,1.8
1598,Eye Master Skin Minerals Men,Eye Cream,oily,59.6,1.4
1599,Eye Shader,Eye,oily,14.6,3.2
1600,Eyes to Kill Acqua Waterproof Eyeliner,Pencil,oily,110.2,4.0
1601,Eyes to Kill Excess Mascara,Volumizing,sensitive,133.9,2.0
1602,Eyes to Kill Intense Waterproof Eyeshadow,Powder,oily,38.4,0
1603,Eyes To Kill Mascara,Volumizing,dry,120.6,3.5
1604,Eyes to Kill Stretch Lengthening Mascara,Lengthening,sensitive,76.5,2.9
1605,Eyes to Kill Waterproof Mascara,Volumizing,dry,52.1,2.3
1606,Face,Face,dry,29.3,1.7
1608,Fluid Master Primer,Face,oily,48.1,0
1609,Fortifying Serum Skin Minerals Men,Hydrating,oily,124.3,3.3
1610,Gloss d'Armani,Lipgloss,oily,134.9,3.4
1611,Gloss dâ€™Armani,Lipgloss,oily,14.4,2.6
1612,Hair Mist,Fragrance,sensitive,114.2,2.6
1613,Large Eye Contour,Eye,dry,93.7,3.0
1614,Light Master Primer,Face,oily,16.6,3.4
1615,Lip,Lip,oily,126.5,2.9
1616,Lip Maestro,Liquid,sensitive,23.9,2.3
1617,Lip Shimmer Lip Gloss,Lipgloss,dry,119.7,2.1
1618,Lip Wax,Lip Balm,dry,133.2,3.6
1619,Luminessence Dark Spot Corrector Lotion,Lotion,sensitive,84.2,3.1
1621,Maestro Eyeshadow,Powder,oily,74.7,2.8
1622,Maestro Liquid Eye Liner,Liquid,dry,60.3,0
1623,Maestro Mascara,Lengthening,oily,73.7,2.9
1624,Onde Mystere,Fragrance,sensitive,136.6,2.1
1625,Onde Vertige,Fragrance,oily,100.0,1.4
1626,Perfection Eye Make Up Remover,Makeup Remover,sensitive,118.2,2.9
1627,Regenessence [3.R] Delicate Cleansing Balm,Makeup Remover,oily,76.8,3.1
1628,Regenessence [3.R] Eye Rejuvenating Serum,Eye Cream,sensitive,13.0,1.7
1629,Regenessence [3.R] High Lift Multi-Firming Rejuvenating Eye Balm,Eye Cream,sensitive,21.3,3.6
1630,Regenessence [3.R] High Lift Multi-Firming Rejuvenating Rich Cream,Cream,sensitive,62.3,2.3
1631,Regenessence [3.R] High Lift Multi-Firming Rejuvenating SPF 15 Cream,Cream,oily,122.0,3.5
1632,Regenessence [3.R] Multi Corrective Rejuvenating Cream,Cream,sensitive,81.2,3.2
1633,Regenessence [3.R] Pre-Regenerative & Retexturizing Lotion,Toner,sensitive,136.4,1.5
1634,Regenessence [3.R] Silky Cleansing Foam,Foaming,oily,142.0,3.2
1635,Regenessence [3.R] Velvety Cleansing Milk,Liquid,sensitive,28.9,2.8
1637,Rose Alexandrie,Fragrance,sensitive,60.9,2.1
1638,Rouge d'Armani Lipstick,Lipstick,oily,105.8,1.4
1639,Rouge dâ€™Armani Lipstick,Lipstick,oily,130.8,1.6
1640,Rouge d'Armani Sheer Lipstick,Lipstick,oily,88.1,2.0
1641,Rouge dâ€™Armani Sheer Lipstick,Lipstick,sensitive,138.5,2.3
1642,Shaving Cream Skin Minerals Men,Cream,oily,40.7,2.0
1643,Sheer Blush,Powder,sensitive,111.2,2.8
1644,Sheer Bronzer,Powder,oily,96.6,1.3
1645,Sheer Lipstick,Lipstick,dry,97.2,1.9
1646,Shine Lipstick,Lipstick,sensitive,125.1,2.7
1647,Smooth Silk Eye Pencil,Pencil,sensitive,29.5,2.6
1648,Smooth Silk Lip Pencil,Pencil,dry,92.5,2.7
1649,Soft Lash Mascara,Eye,dry,124.3,2.0
1650,Face & Eye Palette,Makeup Palette,sensitive,66.4,0
1651,Face Powder,Powder,dry,85.6,2.5
1652,Eyeshadow,Powder,sensitive,127.2,3.4
1653,Lipstick,Lipstick,dry,97.0,2.5
1654,Eyeshadow Palette,Eye Palette,oily,12.2,2.3
1655,Eyes to Kill Eyeshadow Palette,Eye Palette,sensitive,146.7,2.1
1656,Eyes to Kill Eyeshadow Shimmer Palette,Eye Palette,dry,76.7,1.8
1657,Maestro Eye Shadow Quad,Eye Palette,oily,74.8,2.3
1658,Eyeshadow Quad,Eye Palette,dry,127.2,2.5
1659,Abeille Royale - Intense Restoring Lift Nourishing Day Cream,Cream,dry,37.7,2.3
1660,Abeille Royale - Intense Restoring Lift Nourishing Night Cream,Cream,oily,120.4,4.2
1661,Abeille Royale Day Cream (Normal/Combination Skin),Cream,oily,54.2,3.5
1662,Abeille Royale Day Cream (Normal/Dry Skin),Cream,oily,109.3,2.3
1663,Abeille Royale Eye Care Cream,Eye Cream,oily,47.4,1.5
1664,Abeille Royale Night Cream,Cream,oily,101.1,3.6
1665,Abeille Royale Preparing Toner,Toner,dry,69.8,3.1
1667,Aqua Allegoria - Lys Soleia,Fragrance,oily,65.2,2.4
1668,Aqua Allegoria â€“ Lys Soleia,Fragrance,oily,20.6,0
1669,Aqua Allegoria Herba Fresca,Fragrance,dry,71.5,3.8
1670,Aqua Allegoria Jasminora,Fragrance,sensitive,145.0,2.0
1671,Aqua Allegoria Mandarine Basilic,Fragrance,sensitive,42.7,3.9
1672,Aqua Allegoria Pamplelune,Fragrance,sensitive,117.2,3.2
1673,Baume de la Ferte Lip Balm,Lip Balm,sensitive,137.2,2.4
1674,Bronzer & Blush,Powder,sensitive,80.3,1.8
1675,Champs-Elysees,Lotion,oily,134.3,3.3
1676,Cils d'Enfer Maxi Lash Mascara,Volumizing,oily,55.5,1.8
1677,Cils dâ€™Enfer Maxi Lash Mascara,Volumizing,dry,149.5,2.0
1678,Eau de Coq,Fragrance,sensitive,41.0,2.3
1679,Eau de Fleurs de Cedrat,Fragrance,sensitive,41.2,2.8
1680,Eau de Lingerie,Fragrance,dry,107.7,2.6
1681,Exclusive Colgne du 68,Fragrance,dry,81.4,0
1682,Eye Pencil,Pencil,oily,57.4,1.6
1683,Eyeshadow Primer,Eye,sensitive,100.6,1.8
1684,Flora Nymphea,Fragrance,dry,109.2,3.0
1685,Gloss dâ€™Enfer Maxi Shine,Lipgloss,dry,95.8,2.1
1686,Guerlain By Emilio Pucci Powder,Face,oily,72.4,2.4
1687,Habit Rouge,Fragrance,oily,131.1,3.8
1688,Habit Rouge L'eau,Fragrance,oily,17.6,1.6
1689,Habit Rouge Lâ€™eau,Fragrance,sensitive,16.1,2.5
1690,Habit Rouge L'Esprit du Cavalier,Fragrance,sensitive,90.0,1.8
1691,Habit Rouge Lâ€™Esprit du Cavalier,Fragrance,sensitive,65.7,2.8
1692,Idylle,Cream,sensitive,16.1,2.8
1693,Idylle Eau Sublime,Fragrance,oily,13.7,2.4
1694,Idylle The Extract,Fragrance,sensitive,146.4,3.5
1695,Illuminating Iridescent Powder,Powder,dry,21.2,4.8
1696,Illuminating Powder,Powder,sensitive,86.1,1.9
1697,Insolence,Fragrance,dry,108.2,0
1698,Insolence Pure,Fragrance,sensitive,26.0,2.1
1699,Jicky,Fragrance,oily,51.2,2.3
1700,Kiss Kiss Gloss,Lipgloss,dry,37.5,3.9
1701,Kiss Kiss Gloss Serum,Lipgloss,oily,11.7,1.2
1702,Kiss Kiss Lipstick,Lipstick,dry,19.6,2.4
1703,Kiss Kiss Strass Lip Color,Lipstick,dry,77.6,3.0
1705,L'Ame d'un Heros,Fragrance,dry,30.8,2.2
1706,Lâ€™Ame dâ€™un Heros,Fragrance,dry,123.6,1.6
1707,L'Art et la Matiere Angelique Noire,Fragrance,sensitive,78.0,3.0
1708,Lâ€™Art et la Matiere Angelique Noire,Fragrance,sensitive,125.3,2.3
1709,L'Art et la Matiere Bois D'Armenie,Fragrance,oily,91.2,1.8
1710,Lâ€™Art et la Matiere Bois Dâ€™Armenie,Fragrance,dry,78.4,3.4
1711,L'Art et la Matiere Cruel Gardenia,Fragrance,dry,36.1,2.1
1712,Lâ€™Art et la Matiere Cruel Gardenia,Fragrance,dry,66.0,2.0
1713,L'Art et la Matiere Cuir Beluga,Fragrance,sensitive,42.5,2.6
1714,Lâ€™Art et la Matiere Cuir Beluga,Fragrance,dry,141.5,1.9
1715,L'Art et la matiere Rose Barbare,Fragrance,sensitive,114.0,2.7
1716,Lâ€™Art et la matiere Rose Barbare,Fragrance,oily,72.3,2.3
1717,L'Art et la Matiere Tonka Imperiale,Fragrance,oily,84.7,1.1
1718,Lâ€™Art et la Matiere Tonka Imperiale,Fragrance,sensitive,77.4,3.2
1719,Lasting Color High Precision Lip Liner,Pencil,dry,46.7,2.5
1720,Le 2 de Guerlain Mascara,Lengthening,sensitive,14.3,2.2
1721,Les Elixirs Charnels Floral Romantique,Fragrance,dry,93.6,1.0
1722,Les Elixirs Charnels Gourmand Cocquin,Fragrance,sensitive,72.2,2.7
1723,Le Vernis Nail Lacquer,Nail Color,oily,78.6,3.8
1724,Les Elixirs Charnels Asian Brulant,Fragrance,oily,71.7,1.5
1725,Les Elixirs Charnels Boise Torride,Fragrance,dry,75.2,2.4
1726,Les Elixirs Charnels Chypre Fatale,Fragrance,dry,120.3,3.8
1727,Les Parisiennes Mon Precieux Nectar,Fragrance,sensitive,27.1,1.6
1728,L'Heure Bleue,Fragrance,sensitive,149.2,0
1729,Lâ€™Heure Bleue,Fragrance,sensitive,53.5,3.2
1730,L'Instant,Fragrance,dry,63.4,1.5
1731,Lâ€™Instant,Fragrance,sensitive,141.3,2.3
1732,Liquid Eyeliner,Liquid,sensitive,82.7,3.3
1733,L'or Radiance Concentrate with Pure Gold Make-up Base,Face,sensitive,14.1,3.5
1734,Meteorites Voyage Powder,Pressed Finishing,oily,87.5,3.0
1736,Mitsouko,Fragrance,sensitive,131.8,2.6
1737,Moscow,Fragrance,dry,27.9,2.9
1739,Myrrhe & Delires,Fragrance,sensitive,123.0,2.4
1740,New York,Fragrance,oily,144.6,2.2
1741,Noir G Mascara,Volumizing,dry,22.9,2.6
1742,Noir G Mascara Refill,Volumizing,oily,49.1,2.3
1743,Ombre Eclat 1 Shade Single Eyeshadow,Powder,sensitive,97.7,2.6
1744,Orchidee Imperiale Cream,Cream,sensitive,70.7,2.1
1745,Orchidee Imperiale Eye & Lip Cream,Eye Cream,oily,38.0,2.8
1749,Orchidee Imperiale Neck & Decollete Cream,Cream,dry,90.4,2.1
1750,Orchidee Imperiale Rich Cream,Cream,dry,48.5,2.2
1751,Orchidee Imperiale Toner,Toner,dry,74.0,2.9
1754,Perfumed Body Lotion,Lotion,sensitive,26.3,4.7
1755,Pressed Powder & Blush,Powder,oily,141.9,3.4
1756,Rouge Automatique Lip Color,Lipstick,dry,62.1,3.9
1757,Rouge G de Guerlain Lâ€™Extrait,Liquid,dry,57.7,2.5
1758,Rouge G de Guerlain Lip Color,Lipstick,oily,123.3,1.7
1759,Rouge G Le Brillant Complete Shine Lipcolor,Lipstick,oily,31.4,1.6
1760,Rouge G Le Brilliant,Lipstick,sensitive,97.3,3.3
1761,Samsara,"Lotion
",oily,31.6,2.5
1762,Secret de Purete Cleansing Milk,Liquid,oily,112.0,2.7
1763,Secret de Purete Foaming Cream,Cream,dry,112.2,0
1764,Secret de Purete Polishing Exfoliator,Facial Exfoliator,dry,55.1,1.8
1765,Secrets de Purete Cleansing Cream,Cream,oily,48.7,2.5
1766,Serie Noire,Powder,sensitive,95.3,3.4
1767,Shalimar,Lotion,dry,96.2,2.9
1768,Shalimar Parfum Initial,Fragrance,sensitive,39.6,2.2
1769,Shalimar Parfum Initial Delicate,Lotion,dry,121.9,4.6
1770,Shimmer Powder Face & Body,Loose,oily,67.2,1.8
1771,Shine Automatique Lip Color,Lipstick,dry,139.4,1.5
1772,SOS Serum,Hydrating,oily,147.9,2.2
1773,Sous Le Vent,Fragrance,dry,133.3,0
1774,Spiritueuse Double Vanille,Fragrance,oily,128.4,2.5
1775,Super Aqua Lotion Hydrating Toner,Toner,oily,119.9,2.5
1776,Super Aqua Mask,Hydrating,sensitive,110.2,2.4
1779,Super Aqua-Day Comfort Cream SPF 10,Cream,dry,136.1,2.3
1780,Super Aqua-Day Refreshing Cream,Cream,sensitive,92.2,2.8
1781,Super Aqua-Day Triple Protection Shield SPF 30,Lotion,oily,31.7,1.9
